Date,GOOGL
8/27/2015 16:00:00,33.4
8/28/2015 16:00:00,32.98
8/31/2015 16:00:00,32.39
9/1/2015 16:00:00,31.48
9/2/2015 16:00:00,32.25
9/3/2015 16:00:00,31.85
9/4/2015 16:00:00,31.45
9/8/2015 16:00:00,32.19
9/9/2015 16:00:00,32.17
9/10/2015 16:00:00,32.55
9/11/2015 16:00:00,32.77
9/14/2015 16:00:00,32.62
9/15/2015 16:00:00,33.25
9/16/2015 16:00:00,33.28
9/17/2015 16:00:00,33.58
9/18/2015 16:00:00,33.05
9/21/2015 16:00:00,33.35
9/22/2015 16:00:00,32.66
9/23/2015 16:00:00,32.66
9/24/2015 16:00:00,32.75
9/25/2015 16:00:00,32.01
9/28/2015 16:00:00,31.21
9/29/2015 16:00:00,31.13
9/30/2015 16:00:00,31.92
10/1/2015 16:00:00,32.1
10/2/2015 16:00:00,32.85
10/5/2015 16:00:00,33.58
10/6/2015 16:00:00,33.58
10/7/2015 16:00:00,33.5
10/8/2015 16:00:00,33.35
10/9/2015 16:00:00,33.56
10/12/2015 16:00:00,33.82
10/13/2015 16:00:00,34.16
10/14/2015 16:00:00,34.02
10/15/2015 16:00:00,34.65
10/16/2015 16:00:00,34.77
10/19/2015 16:00:00,35
10/20/2015 16:00:00,34
10/21/2015 16:00:00,33.59
10/22/2015 16:00:00,34.06
10/23/2015 16:00:00,35.97
10/26/2015 16:00:00,36.56
10/27/2015 16:00:00,36.64
10/28/2015 16:00:00,36.85
10/29/2015 16:00:00,37.24
10/30/2015 16:00:00,36.87
11/2/2015 16:00:00,37.39
11/3/2015 16:00:00,37.44
11/4/2015 16:00:00,37.77
11/5/2015 16:00:00,38.03
11/6/2015 16:00:00,38.08
11/9/2015 16:00:00,37.74
11/10/2015 16:00:00,37.91
11/11/2015 16:00:00,38.26
11/12/2015 16:00:00,37.83
11/13/2015 16:00:00,37
11/16/2015 16:00:00,37.52
11/17/2015 16:00:00,37.3
11/18/2015 16:00:00,38
11/19/2015 16:00:00,38
11/20/2015 16:00:00,38.85
11/23/2015 16:00:00,38.84
11/24/2015 16:00:00,38.48
11/25/2015 16:00:00,38.46
11/27/2015 16:00:00,38.6
11/30/2015 16:00:00,38.14
12/1/2015 16:00:00,39.19
12/2/2015 16:00:00,38.89
12/3/2015 16:00:00,38.41
12/4/2015 16:00:00,38.96
12/7/2015 16:00:00,38.65
12/8/2015 16:00:00,38.76
12/9/2015 16:00:00,38.13
12/10/2015 16:00:00,38
12/11/2015 16:00:00,37.52
12/14/2015 16:00:00,38.13
12/15/2015 16:00:00,38
12/16/2015 16:00:00,38.83
12/17/2015 16:00:00,38.49
12/18/2015 16:00:00,37.84
12/21/2015 16:00:00,38.04
12/22/2015 16:00:00,38.36
12/23/2015 16:00:00,38.43
12/24/2015 16:00:00,38.29
12/28/2015 16:00:00,39.11
12/29/2015 16:00:00,39.7
12/30/2015 16:00:00,39.52
12/31/2015 16:00:00,38.9
1/4/2016 16:00:00,37.97
1/5/2016 16:00:00,38.08
1/6/2016 16:00:00,37.97
1/7/2016 16:00:00,37.05
1/8/2016 16:00:00,36.55
1/11/2016 16:00:00,36.65
1/12/2016 16:00:00,37.27
1/13/2016 16:00:00,35.98
1/14/2016 16:00:00,36.57
1/15/2016 16:00:00,35.52
1/19/2016 16:00:00,35.95
1/20/2016 16:00:00,35.93
1/21/2016 16:00:00,36.33
1/22/2016 16:00:00,37.27
1/25/2016 16:00:00,36.68
1/26/2016 16:00:00,36.69
1/27/2016 16:00:00,35.88
1/28/2016 16:00:00,37.42
1/29/2016 16:00:00,38.07
2/1/2016 16:00:00,38.54
2/2/2016 16:00:00,39.05
2/3/2016 16:00:00,37.47
2/4/2016 16:00:00,36.5
2/5/2016 16:00:00,35.19
2/8/2016 16:00:00,35.21
2/9/2016 16:00:00,35.05
2/10/2016 16:00:00,35.34
2/11/2016 16:00:00,35.32
2/12/2016 16:00:00,35.34
2/16/2016 16:00:00,35.88
2/17/2016 16:00:00,36.6
2/18/2016 16:00:00,35.88
2/19/2016 16:00:00,36.11
2/22/2016 16:00:00,36.45
