Date,MSFT
1/3/2023 16:00:00,239.58
1/4/2023 16:00:00,229.1
1/5/2023 16:00:00,222.31
1/6/2023 16:00:00,224.93
1/9/2023 16:00:00,227.12
1/10/2023 16:00:00,228.85
1/11/2023 16:00:00,235.77
1/12/2023 16:00:00,238.51
1/13/2023 16:00:00,239.23
1/17/2023 16:00:00,240.35
1/18/2023 16:00:00,235.81
1/19/2023 16:00:00,231.93
1/20/2023 16:00:00,240.22
1/23/2023 16:00:00,242.58
1/24/2023 16:00:00,242.04
1/25/2023 16:00:00,240.61
1/26/2023 16:00:00,248
1/27/2023 16:00:00,248.16
1/30/2023 16:00:00,242.71
1/31/2023 16:00:00,247.81
2/1/2023 16:00:00,252.75
2/2/2023 16:00:00,264.6
2/3/2023 16:00:00,258.35
2/6/2023 16:00:00,256.77
2/7/2023 16:00:00,267.56
2/8/2023 16:00:00,266.73
2/9/2023 16:00:00,263.62
2/10/2023 16:00:00,263.1
2/13/2023 16:00:00,271.32
2/14/2023 16:00:00,272.17
2/15/2023 16:00:00,269.32
2/16/2023 16:00:00,262.15
2/17/2023 16:00:00,258.06
2/21/2023 16:00:00,252.67
2/22/2023 16:00:00,251.51
2/23/2023 16:00:00,254.77
2/24/2023 16:00:00,249.22
2/27/2023 16:00:00,250.16
2/28/2023 16:00:00,249.42
3/1/2023 16:00:00,246.27
3/2/2023 16:00:00,251.11
3/3/2023 16:00:00,255.29
3/6/2023 16:00:00,256.87
3/7/2023 16:00:00,254.15
3/8/2023 16:00:00,253.7
3/9/2023 16:00:00,252.32
3/10/2023 16:00:00,248.59
3/13/2023 16:00:00,253.92
3/14/2023 16:00:00,260.79
3/15/2023 16:00:00,265.44
3/16/2023 16:00:00,276.2
3/17/2023 16:00:00,279.43
3/20/2023 16:00:00,272.23
3/21/2023 16:00:00,273.78
3/22/2023 16:00:00,272.29
3/23/2023 16:00:00,277.66
3/24/2023 16:00:00,280.57
3/27/2023 16:00:00,276.38
3/28/2023 16:00:00,275.23
3/29/2023 16:00:00,280.51
3/30/2023 16:00:00,284.05
3/31/2023 16:00:00,288.3
4/3/2023 16:00:00,287.23
4/4/2023 16:00:00,287.18
4/5/2023 16:00:00,284.34
4/6/2023 16:00:00,291.6
4/10/2023 16:00:00,289.39
4/11/2023 16:00:00,282.83
4/12/2023 16:00:00,283.49
4/13/2023 16:00:00,289.84
4/14/2023 16:00:00,286.14
4/17/2023 16:00:00,288.8
4/18/2023 16:00:00,288.37
4/19/2023 16:00:00,288.45
4/20/2023 16:00:00,286.11
4/21/2023 16:00:00,285.76
4/24/2023 16:00:00,281.77
4/25/2023 16:00:00,275.42
4/26/2023 16:00:00,295.37
4/27/2023 16:00:00,304.83
4/28/2023 16:00:00,307.26
5/1/2023 16:00:00,305.56
5/2/2023 16:00:00,305.41
5/3/2023 16:00:00,304.4
5/4/2023 16:00:00,305.41
5/5/2023 16:00:00,310.65
5/8/2023 16:00:00,308.65
5/9/2023 16:00:00,307
5/10/2023 16:00:00,312.31
5/11/2023 16:00:00,310.11
5/12/2023 16:00:00,308.97
5/15/2023 16:00:00,309.46
