Date,AAPL
8/29/2023 16:00:00,184.12
8/30/2023 16:00:00,187.65
8/31/2023 16:00:00,187.87
9/1/2023 16:00:00,189.46
9/5/2023 16:00:00,189.7
9/6/2023 16:00:00,182.91
9/7/2023 16:00:00,177.56
9/8/2023 16:00:00,178.18
9/11/2023 16:00:00,179.36
9/12/2023 16:00:00,176.3
9/13/2023 16:00:00,174.21
9/14/2023 16:00:00,175.74
9/15/2023 16:00:00,175.01
9/18/2023 16:00:00,177.97
9/19/2023 16:00:00,179.07
9/20/2023 16:00:00,175.49
9/21/2023 16:00:00,173.93
9/22/2023 16:00:00,174.79
9/25/2023 16:00:00,176.08
9/26/2023 16:00:00,171.96
9/27/2023 16:00:00,170.43
9/28/2023 16:00:00,170.69
9/29/2023 16:00:00,171.21
10/2/2023 16:00:00,173.75
10/3/2023 16:00:00,172.4
10/4/2023 16:00:00,173.66
10/5/2023 16:00:00,174.91
10/6/2023 16:00:00,177.49
10/9/2023 16:00:00,178.99
10/10/2023 16:00:00,178.39
10/11/2023 16:00:00,179.8
10/12/2023 16:00:00,180.71
10/13/2023 16:00:00,178.85
10/16/2023 16:00:00,178.72
10/17/2023 16:00:00,177.15
10/18/2023 16:00:00,175.84
10/19/2023 16:00:00,175.46
10/20/2023 16:00:00,172.88
10/23/2023 16:00:00,173
10/24/2023 16:00:00,173.44
10/25/2023 16:00:00,171.1
10/26/2023 16:00:00,166.89
10/27/2023 16:00:00,168.22
10/30/2023 16:00:00,170.29
10/31/2023 16:00:00,170.77
11/1/2023 16:00:00,173.97
11/2/2023 16:00:00,177.57
11/3/2023 16:00:00,176.65
11/6/2023 16:00:00,179.23
11/7/2023 16:00:00,181.82
11/8/2023 16:00:00,182.89
11/9/2023 16:00:00,182.41
11/10/2023 16:00:00,186.4
11/13/2023 16:00:00,184.8
11/14/2023 16:00:00,187.44
11/15/2023 16:00:00,188.01
11/16/2023 16:00:00,189.71
11/17/2023 16:00:00,189.69
11/20/2023 16:00:00,191.45
11/21/2023 16:00:00,190.64
11/22/2023 16:00:00,191.31
11/24/2023 13:05:00,189.97
11/27/2023 16:00:00,189.79
11/28/2023 16:00:00,190.4
11/29/2023 16:00:00,189.37
11/30/2023 16:00:00,189.95
12/1/2023 16:00:00,191.24
12/4/2023 16:00:00,189.43
12/5/2023 16:00:00,193.42
12/6/2023 16:00:00,192.32
12/7/2023 16:00:00,194.27
12/8/2023 16:00:00,195.71
12/11/2023 16:00:00,193.18
12/12/2023 16:00:00,194.71
12/13/2023 16:00:00,197.96
12/14/2023 16:00:00,198.11
12/15/2023 16:00:00,197.57
12/18/2023 16:00:00,195.89
12/19/2023 16:00:00,196.94
