Date,META
8/29/2023 16:00:00,297.99
8/30/2023 16:00:00,295.1
8/31/2023 16:00:00,295.89
9/1/2023 16:00:00,296.38
9/5/2023 16:00:00,300.15
9/6/2023 16:00:00,299.17
9/7/2023 16:00:00,298.67
9/8/2023 16:00:00,297.89
9/11/2023 16:00:00,307.56
9/12/2023 16:00:00,301.66
9/13/2023 16:00:00,305.06
9/14/2023 16:00:00,311.72
9/15/2023 16:00:00,300.31
9/18/2023 16:00:00,302.55
9/19/2023 16:00:00,305.07
9/20/2023 16:00:00,299.67
9/21/2023 16:00:00,295.73
9/22/2023 16:00:00,299.08
9/25/2023 16:00:00,300.83
9/26/2023 16:00:00,298.96
9/27/2023 16:00:00,297.74
9/28/2023 16:00:00,303.96
9/29/2023 16:00:00,300.21
10/2/2023 16:00:00,306.82
10/3/2023 16:00:00,300.94
10/4/2023 16:00:00,305.58
10/5/2023 16:00:00,304.79
10/6/2023 16:00:00,315.43
10/9/2023 16:00:00,318.36
10/10/2023 16:00:00,321.84
10/11/2023 16:00:00,327.82
10/12/2023 16:00:00,324.16
10/13/2023 16:00:00,314.69
10/16/2023 16:00:00,321.15
10/17/2023 16:00:00,324
10/18/2023 16:00:00,316.97
10/19/2023 16:00:00,312.81
10/20/2023 16:00:00,308.65
10/23/2023 16:00:00,314.01
10/24/2023 16:00:00,312.55
10/25/2023 16:00:00,299.53
10/26/2023 16:00:00,288.35
10/27/2023 16:00:00,296.73
10/30/2023 16:00:00,302.66
10/31/2023 16:00:00,301.27
11/1/2023 16:00:00,311.85
11/2/2023 16:00:00,310.87
11/3/2023 16:00:00,314.6
11/6/2023 16:00:00,315.8
11/7/2023 16:00:00,318.82
11/8/2023 16:00:00,319.78
11/9/2023 16:00:00,320.55
11/10/2023 16:00:00,328.77
11/13/2023 16:00:00,329.19
11/14/2023 16:00:00,336.31
11/15/2023 16:00:00,332.71
11/16/2023 16:00:00,334.19
11/17/2023 16:00:00,335.04
11/20/2023 16:00:00,339.97
11/21/2023 16:00:00,336.98
11/22/2023 16:00:00,341.49
11/24/2023 13:05:00,338.23
11/27/2023 16:00:00,334.7
11/28/2023 16:00:00,338.99
11/29/2023 16:00:00,332.2
11/30/2023 16:00:00,327.15
12/1/2023 16:00:00,324.82
12/4/2023 16:00:00,320.02
12/5/2023 16:00:00,318.29
12/6/2023 16:00:00,317.45
12/7/2023 16:00:00,326.59
12/8/2023 16:00:00,332.75
12/11/2023 16:00:00,325.28
12/12/2023 16:00:00,334.22
12/13/2023 16:00:00,334.74
12/14/2023 16:00:00,333.17
12/15/2023 16:00:00,334.92
12/18/2023 16:00:00,344.62
12/19/2023 16:00:00,350.36
